cluster,ID,valence,arousal
1,8,-0.638,0.607
1,9,-0.8089999999999999,0.723
1,10,-0.853,0.885
1,11,-0.8925000000000001,0.899
1,16,-0.6521,0.714
1,17,-0.657,0.663
1,18,-0.8939999999999999,0.706
1,19,-0.85,0.42000000000000004
1,20,-0.8981,0.675
1,22,-0.775,0.592
1,24,-0.788,0.602
1,27,-0.734,0.5820000000000001
1,28,-0.9136000000000001,0.8230000000000001
1,29,-0.8452,0.702
1,34,-0.7439,0.536
1,35,-0.763,0.544
1,36,-0.65,0.8099999999999999
1,37,-0.726,0.577
1,39,-0.7213999999999999,0.786
1,40,-0.85,0.79
1,43,-0.737,0.323
1,50,-0.9085000000000001,0.601
1,55,-0.781,0.8949999999999999
1,56,-0.744,0.352
1,59,-0.827,0.71
1,61,-0.7760100000000001,0.714
1,65,-0.777,0.859
1,68,-0.881,0.219999
2,1,0.030000000000000006,-0.13500000000000006
2,2,-0.0107,0.137
2,3,-0.19,0.19
2,4,-0.055709999999999996,0.139
2,5,-0.54,0.385
2,21,-0.42000000000000004,0.43499999999999994
2,23,-0.52,0.315
2,38,-0.5780000000000001,0.369
2,41,-0.44699999999999995,0.14300000000000002
2,42,-0.5640000000000001,0.378
2,44,-0.11279999999999998,0.596
2,46,-0.37,0.32999999999999996
2,48,-0.53,0.33499999999999996
2,49,-0.20032,0.355
2,52,-0.37533333332999996,0.27
2,53,-0.587,0.38
2,54,-0.13299999999999998,0.8560000000000001
2,58,-0.2785,0.172
2,60,-0.20529999999999998,0.32999999999999996
2,62,-0.47700000000000004,0.207
2,63,0.095,0.75
2,64,-0.35,0.42000000000000004
2,66,0.16,0.495
2,67,0.085,0.37
2,72,-0.2652,0.004999999999999996
2,73,-0.08191999999999999,0.34301
2,74,-0.4553,0.39699999999999996
3,6,0.788,0.744
3,7,0.6679999999999999,0.335
3,14,0.784,0.709
3,15,0.875,0.8109999999999999
3,45,0.85,0.5850000000000001
3,51,0.716,0.34500000000000003
3,70,0.916,0.682
3,71,0.8240000000000001,0.22400000000000003
4,12,-0.4600000000000001,-0.43
4,13,-0.7092,-0.41200100000000006
4,25,-0.85,-0.15540600000000002
4,26,-0.75,-0.290001
4,30,-0.09819999999999998,-0.742
4,31,-0.5356,-0.645
4,47,-0.5351000000000001,-0.640101
4,69,-0.732,-0.40700000000000003
4,75,-0.4203,-0.16506
5,32,0.644,-0.2662
5,33,0.766,-0.352
5,57,0.735,-0.038
